State,State Code,Year,Year Code,Projected Populations
Alabama, 01,	2004	,2004, 4513207
Alabama, 01,	2005	,2005,4527166
Alabama, 01,	2006	,2006, 4541263
Alabama, 01,	2007	,2007,4555152
Alabama, 01,	2008	,2008, 4568983
Alabama, 01,	2009	,2009,4582698
Alabama, 01,	2010	,2010, 4596330
Alabama, 01,	2011	,2011,4609820
Alabama, 01,	2012	,2012, 4623288
Alabama, 01,	2013	,2013,4636657
Alabama, 01,	2014	,2014, 4649932
Alabama, 01,	2015	,2015,4663111
Alabama, 01,	2016	,2016, 4676269
Alabama, 01,	2017	,2017,4689410
Alabama, 01,	2018	,2018, 4702519
Alabama, 01,	2019	,2019,4715658
Alabama, 01,	2020	,2020, 4728915
Alabama, 01,	2021	,2021,4742363
Alabama, 01,	2022	,2022, 4756138
Alabama, 01,	2023	,2023,4770343
Alabama, 01,	2024	,2024, 4784959
Alabama, 01,	2025	,2025,4800092
Alabama, 01,	2026	,2026, 4815086
Alabama, 01,	2027	,2027,4829976
Alabama, 01,	2028	,2028, 4844786
Alabama, 01,	2029	,2029,4859518
Alabama, 01,	2030	,2030, 4874243
Alaska, 02,	2004	,2004,655349
Alaska, 02,	2005	,2005, 661110
Alaska, 02,	2006	,2006,667147
Alaska, 02,	2007	,2007, 673516
Alaska, 02,	2008	,2008,680082
Alaska, 02,	2009	,2009, 686965
Alaska, 02,	2010	,2010,694109
Alaska, 02,	2011	,2011, 701381
Alaska, 02,	2012	,2012,708914
Alaska, 02,	2013	,2013, 716684
Alaska, 02,	2014	,2014,724553
Alaska, 02,	2015	,2015, 732544
Alaska, 02,	2016	,2016,740704
Alaska, 02,	2017	,2017, 748945
Alaska, 02,	2018	,2018,757331
Alaska, 02,	2019	,2019, 765831
Alaska, 02,	2020	,2020,774421
Alaska, 02,	2021	,2021, 783195
Alaska, 02,	2022	,2022,792219
Alaska, 02,	2023	,2023, 801435
Alaska, 02,	2024	,2024,810992
Alaska, 02,	2025	,2025, 820881
Alaska, 02,	2026	,2026,830576
Alaska, 02,	2027	,2027, 840106
Alaska, 02,	2028	,2028,849465
Alaska, 02,	2029	,2029, 858638
Alaska, 02,	2030	,2030,867674
Arizona, 04,	2004	,2004, 5723060
Arizona, 04,	2005	,2005,5868004
Arizona, 04,	2006	,2006, 6016116
Arizona, 04,	2007	,2007,6167024
Arizona, 04,	2008	,2008, 6320874
Arizona, 04,	2009	,2009,6477686
Arizona, 04,	2010	,2010, 6637381
Arizona, 04,	2011	,2011,6800697
Arizona, 04,	2012	,2012, 6968066
Arizona, 04,	2013	,2013,7139678
Arizona, 04,	2014	,2014, 7315364
Arizona, 04,	2015	,2015,7495238
Arizona, 04,	2016	,2016, 7679249
Arizona, 04,	2017	,2017,7867317
Arizona, 04,	2018	,2018, 8059487
Arizona, 04,	2019	,2019,8255876
Arizona, 04,	2020	,2020, 8456448
Arizona, 04,	2021	,2021,8661628
Arizona, 04,	2022	,2022, 8871581
Arizona, 04,	2023	,2023,9086570
Arizona, 04,	2024	,2024, 9306480
Arizona, 04,	2025	,2025,9531537
Arizona, 04,	2026	,2026, 9760275
Arizona, 04,	2027	,2027,9992720
Arizona, 04,	2028	,2028, 10228744
Arizona, 04,	2029	,2029,10468679
Arizona, 04,	2030	,2030, 10712397
Arkansas, 05,	2004	,2004,2756801
Arkansas, 05,	2005	,2005, 2777007
Arkansas, 05,	2006	,2006,2797096
Arkansas, 05,	2007	,2007, 2816936
Arkansas, 05,	2008	,2008,2836580
Arkansas, 05,	2009	,2009, 2855960
Arkansas, 05,	2010	,2010,2875039
Arkansas, 05,	2011	,2011, 2893966
Arkansas, 05,	2012	,2012,2912801
Arkansas, 05,	2013	,2013, 2931613
Arkansas, 05,	2014	,2014,2950287
Arkansas, 05,	2015	,2015, 2968913
Arkansas, 05,	2016	,2016,2987368
Arkansas, 05,	2017	,2017, 3005726
Arkansas, 05,	2018	,2018,3023989
Arkansas, 05,	2019	,2019, 3042139
Arkansas, 05,	2020	,2020,3060219
Arkansas, 05,	2021	,2021, 3078304
Arkansas, 05,	2022	,2022,3096402
Arkansas, 05,	2023	,2023, 3114547
Arkansas, 05,	2024	,2024,3132786
Arkansas, 05,	2025	,2025, 3151005
Arkansas, 05,	2026	,2026,3169170
Arkansas, 05,	2027	,2027, 3187183
Arkansas, 05,	2028	,2028,3205040
Arkansas, 05,	2029	,2029, 3222760
Arkansas, 05,	2030	,2030,3240208
California, 06,	2004	,2004, 35627966
California, 06,	2005	,2005,36038859
California, 06,	2006	,2006, 36449380
California, 06,	2007	,2007,36857069
California, 06,	2008	,2008, 37262310
California, 06,	2009	,2009,37665703
California, 06,	2010	,2010, 38067134
California, 06,	2011	,2011,38469883
California, 06,	2012	,2012, 38877863
California, 06,	2013	,2013,39290168
California, 06,	2014	,2014, 39705716
California, 06,	2015	,2015,40123232
California, 06,	2016	,2016, 40541658
California, 06,	2017	,2017,40959943
California, 06,	2018	,2018, 41377233
California, 06,	2019	,2019,41793201
California, 06,	2020	,2020, 42206743
California, 06,	2021	,2021,42621044
California, 06,	2022	,2022, 43038400
California, 06,	2023	,2023,43458537
California, 06,	2024	,2024, 43880767
California, 06,	2025	,2025,44305177
California, 06,	2026	,2026, 44730796
California, 06,	2027	,2027,45157132
California, 06,	2028	,2028, 45584544
California, 06,	2029	,2029,46013544
California, 06,	2030	,2030, 46444861
Colorado, 08,	2004	,2004,4574908
Colorado, 08,	2005	,2005, 4617962
Colorado, 08,	2006	,2006,4661034
Colorado, 08,	2007	,2007, 4703833
Colorado, 08,	2008	,2008,4746528
Colorado, 08,	2009	,2009, 4789060
Colorado, 08,	2010	,2010,4831554
Colorado, 08,	2011	,2011, 4874231
Colorado, 08,	2012	,2012,4917355
Colorado, 08,	2013	,2013, 4960914
Colorado, 08,	2014	,2014,5004965
Colorado, 08,	2015	,2015, 5049493
Colorado, 08,	2016	,2016,5094505
Colorado, 08,	2017	,2017, 5139904
Colorado, 08,	2018	,2018,5185795
Colorado, 08,	2019	,2019, 5232108
Colorado, 08,	2020	,2020,5278867
Colorado, 08,	2021	,2021, 5326177
Colorado, 08,	2022	,2022,5374263
Colorado, 08,	2023	,2023, 5423079
Colorado, 08,	2024	,2024,5472581
Colorado, 08,	2025	,2025, 5522803
Colorado, 08,	2026	,2026,5574258
Colorado, 08,	2027	,2027, 5626850
Colorado, 08,	2028	,2028,5680680
Colorado, 08,	2029	,2029, 5735899
Colorado, 08,	2030	,2030,5792357
Connecticut, 09,	2004	,2004, 3485593
Connecticut, 09,	2005	,2005,3503185
Connecticut, 09,	2006	,2006, 3519930
Connecticut, 09,	2007	,2007,3535579
Connecticut, 09,	2008	,2008, 3550416
Connecticut, 09,	2009	,2009,3564393
Connecticut, 09,	2010	,2010, 3577490
Connecticut, 09,	2011	,2011,3590023
Connecticut, 09,	2012	,2012, 3602158
Connecticut, 09,	2013	,2013,3613835
Connecticut, 09,	2014	,2014, 3624896
Connecticut, 09,	2015	,2015,3635414
Connecticut, 09,	2016	,2016, 3645212
Connecticut, 09,	2017	,2017,3654173
Connecticut, 09,	2018	,2018, 3662364
Connecticut, 09,	2019	,2019,3669544
Connecticut, 09,	2020	,2020, 3675650
Connecticut, 09,	2021	,2021,3680713
Connecticut, 09,	2022	,2022, 3684845
Connecticut, 09,	2023	,2023,3688001
Connecticut, 09,	2024	,2024, 3690067
Connecticut, 09,	2025	,2025,3691016
Connecticut, 09,	2026	,2026, 3691567
Connecticut, 09,	2027	,2027,3691611
Connecticut, 09,	2028	,2028, 3691198
Connecticut, 09,	2029	,2029,3690174
Connecticut, 09,	2030	,2030, 3688630
Delaware, 10,	2004	,2004,826804
Delaware, 10,	2005	,2005, 836687
Delaware, 10,	2006	,2006,846484
Delaware, 10,	2007	,2007, 856170
Delaware, 10,	2008	,2008,865705
Delaware, 10,	2009	,2009, 875117
Delaware, 10,	2010	,2010,884342
Delaware, 10,	2011	,2011, 893422
Delaware, 10,	2012	,2012,902264
Delaware, 10,	2013	,2013, 910889
Delaware, 10,	2014	,2014,919299
Delaware, 10,	2015	,2015, 927400
Delaware, 10,	2016	,2016,935223
Delaware, 10,	2017	,2017, 942751
Delaware, 10,	2018	,2018,949937
Delaware, 10,	2019	,2019, 956706
Delaware, 10,	2020	,2020,963209
Delaware, 10,	2021	,2021, 969362
Delaware, 10,	2022	,2022,975210
Delaware, 10,	2023	,2023, 980713
Delaware, 10,	2024	,2024,985857
Delaware, 10,	2025	,2025, 990694
Delaware, 10,	2026	,2026,995366
Delaware, 10,	2027	,2027, 999899
Delaware, 10,	2028	,2028,1004298
Delaware, 10,	2029	,2029, 1008547
Delaware, 10,	2030	,2030,1012658
District of Columbia, 11,	2004	,2004, 555363
District of Columbia, 11,	2005	,2005,551136
District of Columbia, 11,	2006	,2006, 546944
District of Columbia, 11,	2007	,2007,542735
District of Columbia, 11,	2008	,2008, 538487
District of Columbia, 11,	2009	,2009,534202
District of Columbia, 11,	2010	,2010, 529785
District of Columbia, 11,	2011	,2011,525289
District of Columbia, 11,	2012	,2012, 520712
District of Columbia, 11,	2013	,2013,516005
District of Columbia, 11,	2014	,2014, 511233
District of Columbia, 11,	2015	,2015,506323
District of Columbia, 11,	2016	,2016, 501333
District of Columbia, 11,	2017	,2017,496175
District of Columbia, 11,	2018	,2018, 491009
District of Columbia, 11,	2019	,2019,485768
District of Columbia, 11,	2020	,2020, 480540
District of Columbia, 11,	2021	,2021,475313
District of Columbia, 11,	2022	,2022, 470147
District of Columbia, 11,	2023	,2023,465050
District of Columbia, 11,	2024	,2024, 460046
District of Columbia, 11,	2025	,2025,455108
District of Columbia, 11,	2026	,2026, 450365
