State,State Code,Year,Year Code,Projected Populations
ALabama,01,2004,2004,4513207
ALabama,01,2005,2005,4527166
ALabama,01,2006,2006,4541263
ALabama,01,2007,2007,4555152
ALabama,01,2008,2008,4568983
ALabama,01,2009,2009,4582698
ALabama,01,2010,2010,4596330
ALabama,01,2011,2011,4609820
ALabama,01,2012,2012,4623288
ALabama,01,2013,2013,4636657
ALabama,01,2014,2014,4649932
ALabama,01,2015,2015,4663111
ALabama,01,2016,2016,4676269
ALabama,01,2017,2017,4689410
ALabama,01,2018,2018,4702519
ALabama,01,2019,2019,4715658
ALabama,01,2020,2020,4728915
ALabama,01,2021,2021,4742363
ALabama,01,2022,2022,4756138
ALabama,01,2023,2023,4770343
ALabama,01,2024,2024,4784959
ALabama,01,2025,2025,4800092
ALabama,01,2026,2026,4815086
ALabama,01,2027,2027,4829976
ALabama,01,2028,2028,4844786
ALabama,01,2029,2029,4859518
ALabama,01,2030,2030,4874243
Alaska,02,2004,2004,655349
Alaska,02,2005,2005,661110
AlAska,02,2006,2006,667147
AlAska,02,2007,2007,673516
AlAska,02,2008,2008,680082
AlAska,02,2009,2009,686965
AlAska,02,2010,2010,694109
AlAska,02,2011,2011,701381
AlAska,02,2012,2012,708914
AlAska,02,2013,2013,716684
AlAska,02,2014,2014,724553
AlAska,02,2015,2015,732544
AlAska,02,2016,2016,740704
AlAska,02,2017,2017,748945
AlAska,02,2018,2018,757331
AlAska,02,2019,2019,765831
AlAska,02,2020,2020,774421
AlAska,02,2021,2021,783195
AlAska,02,2022,2022,792219
AlAska,02,2023,2023,801435
AlAska,02,2024,2024,810992
AlAska,02,2025,2025,820881
AlAska,02,2026,2026,830576
AlAska,02,2027,2027,840106
AlAska,02,2028,2028,849465
AlAska,02,2029,2029,858638
AlAska,02,2030,2030,867674
ArizOna,04,2004,2004,5723060
ArizOna,04,2005,2005,5868004
ArizOna,04,2006,2006,6016116
ArizOna,04,2007,2007,6167024
ArizOna,04,2008,2008,6320874
ArizOna,04,2009,2009,6477686
ArizOna,04,2010,2010,6637381
ArizOna,04,2011,2011,6800697
ArizOna,04,2012,2012,6968066
ArizOna,04,2013,2013,7139678
ArizOna,04,2014,2014,7315364
ArizOna,04,2015,2015,7495238
ArizOna,04,2016,2016,7679249
ArizOna,04,2017,2017,7867317
ArizOna,04,2018,2018,8059487
ArizOna,04,2019,2019,8255876
ArizOna,04,2020,2020,8456448
ArizOna,04,2021,2021,8661628
ArizOna,04,2022,2022,8871581
ArizOna,04,2023,2023,9086570
ArizOna,04,2024,2024,9306480
ArizOna,04,2025,2025,9531537
ArizOna,04,2026,2026,9760275
ArizOna,04,2027,2027,9992720
ArizOna,04,2028,2028,10228744
ArizOna,04,2029,2029,10468679
ArizOna,04,2030,2030,10712397
ArkaNsas,05,2004,2004,2756801
ArkaNsas,05,2005,2005,2777007
ArkaNsas,05,2006,2006,2797096
ArkaNsas,05,2007,2007,2816936
ArkaNsas,05,2008,2008,2836580
ArkaNsas,05,2009,2009,2855960
ArkaNsas,05,2010,2010,2875039
ArkaNsas,05,2011,2011,2893966
ArkaNsas,05,2012,2012,2912801
ArkaNsas,05,2013,2013,2931613
ArkaNsas,05,2014,2014,2950287
ArkaNsas,05,2015,2015,2968913
ArkaNsas,05,2016,2016,2987368
ArkaNsas,05,2017,2017,3005726
ArkaNsas,05,2018,2018,3023989
ArkaNsas,05,2019,2019,3042139
ArkaNsas,05,2020,2020,3060219
ArkaNsas,05,2021,2021,3078304
ArkaNsas,05,2022,2022,3096402
ArkaNsas,05,2023,2023,3114547
ArkaNsas,05,2024,2024,3132786
ArkaNsas,05,2025,2025,3151005
ArkaNsas,05,2026,2026,3169170
ArkaNsas,05,2027,2027,3187183
ArkaNsas,05,2028,2028,3205040
ArkaNsas,05,2029,2029,3222760
ArkaNsas,05,2030,2030,3240208
california,06,2004,2004,35627966
california,06,2005,2005,36038859
california,06,2006,2006,36449380
california,06,2007,2007,36857069
california,06,2008,2008,37262310
california,06,2009,2009,37665703
california,06,2010,2010,38067134
california,06,2011,2011,38469883
california,06,2012,2012,38877863
california,06,2013,2013,39290168
california,06,2014,2014,39705716
california,06,2015,2015,40123232
california,06,2016,2016,40541658
california,06,2017,2017,40959943
california,06,2018,2018,41377233
california,06,2019,2019,41793201
california,06,2020,2020,42206743
california,06,2021,2021,42621044
california,06,2022,2022,43038400
california,06,2023,2023,43458537
california,06,2024,2024,43880767
california,06,2025,2025,44305177
california,06,2026,2026,44730796
california,06,2027,2027,45157132
california,06,2028,2028,45584544
california,06,2029,2029,46013544
california,06,2030,2030,46444861
colorado,08,2004,2004,4574908
colorado,08,2005,2005,4617962
colorado,08,2006,2006,4661034
colorado,08,2007,2007,4703833
colorado,08,2008,2008,4746528
colorado,08,2009,2009,4789060
colorado,08,2010,2010,4831554
colorado,08,2011,2011,4874231
colorado,08,2012,2012,4917355
colorado,08,2013,2013,4960914
colorado,08,2014,2014,5004965
colorado,08,2015,2015,5049493
colorado,08,2016,2016,5094505
colorado,08,2017,2017,5139904
colorado,08,2018,2018,5185795
colorado,08,2019,2019,5232108
colorado,08,2020,2020,5278867
colorado,08,2021,2021,5326177
colorado,08,2022,2022,5374263
colorado,08,2023,2023,5423079
colorado,08,2024,2024,5472581
colorado,08,2025,2025,5522803
colorado,08,2026,2026,5574258
colorado,08,2027,2027,5626850
colorado,08,2028,2028,5680680
colorado,08,2029,2029,5735899
colorado,08,2030,2030,5792357
ConnecticuT,09,2004,2004,3485593
ConnecticuT,09,2005,2005,3503185
ConnecticuT,09,2006,2006,3519930
ConnecticuT,09,2007,2007,3535579
ConnecticuT,09,2008,2008,3550416
ConnecticuT,09,2009,2009,3564393
ConnecticuT,09,2010,2010,3577490
ConnecticuT,09,2011,2011,3590023
ConnecticuT,09,2012,2012,3602158
ConnecticuT,09,2013,2013,3613835
ConnecticuT,09,2014,2014,3624896
ConnecticuT,09,2015,2015,3635414
ConnecticuT,09,2016,2016,3645212
ConnecticuT,09,2017,2017,3654173
ConnecticuT,09,2018,2018,3662364
ConnecticuT,09,2019,2019,3669544
ConnecticuT,09,2020,2020,3675650
ConnecticuT,09,2021,2021,3680713
ConnecticuT,09,2022,2022,3684845
ConnecticuT,09,2023,2023,3688001
ConnecticuT,09,2024,2024,3690067
ConnecticuT,09,2025,2025,3691016
ConnecticuT,09,2026,2026,3691567
ConnecticuT,09,2027,2027,3691611
ConnecticuT,09,2028,2028,3691198
ConnecticuT,09,2029,2029,3690174
ConnecticuT,09,2030,2030,3688630
DelAware,10,2004,2004,826804
DelAware,10,2005,2005,836687
DelAware,10,2006,2006,846484
DelAware,10,2007,2007,856170
DelAware,10,2008,2008,865705
DelAware,10,2009,2009,875117
DelAware,10,2010,2010,884342
DelAware,10,2011,2011,893422
DelAware,10,2012,2012,902264
DelAware,10,2013,2013,910889
DelAware,10,2014,2014,919299
DelAware,10,2015,2015,927400
DelAware,10,2016,2016,935223
DelAware,10,2017,2017,942751
DelAware,10,2018,2018,949937
DelAware,10,2019,2019,956706
DelAware,10,2020,2020,963209
DelAware,10,2021,2021,969362
DelAware,10,2022,2022,975210
DelAware,10,2023,2023,980713
DelAware,10,2024,2024,985857
DelAware,10,2025,2025,990694
DelAware,10,2026,2026,995366
DelAware,10,2027,2027,999899
DelAware,10,2028,2028,1004298
DelAware,10,2029,2029,1008547
DelAware,10,2030,2030,1012658
DisTrict oF Columbia,11,2004,2004,555363
DisTrict oF Columbia,11,2005,2005,551136
DisTrict oF Columbia,11,2006,2006,546944
DisTrict oF Columbia,11,2007,2007,542735
DisTrict oF Columbia,11,2008,2008,538487
DisTrict oF Columbia,11,2009,2009,534202
DisTrict oF Columbia,11,2010,2010,529785
DisTrict oF Columbia,11,2011,2011,525289
DisTrict oF Columbia,11,2012,2012,520712
DisTrict oF Columbia,11,2013,2013,516005
DisTrict oF Columbia,11,2014,2014,511233
DisTrict oF Columbia,11,2015,2015,506323
DisTrict oF Columbia,11,2016,2016,501333
DisTrict oF Columbia,11,2017,2017,496175
DisTrict oF Columbia,11,2018,2018,491009
DisTrict oF Columbia,11,2019,2019,485768
DisTrict oF Columbia,11,2020,2020,480540
DisTrict oF Columbia,11,2021,2021,475313
DisTrict oF Columbia,11,2022,2022,470147
DisTrict oF Columbia,11,2023,2023,465050
DisTrict oF Columbia,11,2024,2024,460046
DisTrict oF Columbia,11,2025,2025,455108
DisTrict oF Columbia,11,2026,2026,450365
DisTrict oF Columbia,11,2027,2027,445794
DisTrict oF Columbia,11,2028,2028,441489
DisTrict oF Columbia,11,2029,2029,437383
DisTrict oF Columbia,11,2030,2030,433414
FloRida,12,2004,2004,17182574
FloRida,12,2005,2005,17509827
FloRida,12,2006,2006,17844630
FloRida,12,2007,2007,18185887
FloRida,12,2008,2008,18533980
FloRida,12,2009,2009,18889187
FloRida,12,2010,2010,19251691
FloRida,12,2011,2011,19622736
FloRida,12,2012,2012,20003427
FloRida,12,2013,2013,20393946
FloRida,12,2014,2014,20794144
FloRida,12,2015,2015,21204132
FloRida,12,2016,2016,21624076
FloRida,12,2017,2017,22053899
FloRida,12,2018,2018,22493926
FloRida,12,2019,2019,22944739
FloRida,12,2020,2020,23406525
FloRida,12,2021,2021,23880431
FloRida,12,2022,2022,24367532
FloRida,12,2023,2023,24868128
FloRida,12,2024,2024,25382899
FloRida,12,2025,2025,25912458
FloRida,12,2026,2026,26450121
FloRida,12,2027,2027,26995836
FloRida,12,2028,2028,27550050
FloRida,12,2029,2029,28113244
FloRida,12,2030,2030,28685769
GeoRgia,13,2004,2004,8791776
GeoRgia,13,2005,2005,8925796
GeoRgia,13,2006,2006,9059743
