State,Year,Projected Populations
Alabama,2004,4513207
Alabama,2005,4527166
Alabama,2006,4541263
Alabama,2007,4555152
Alabama,2008,4568983
Alabama,2009,4582698
Alabama,2010,4596330
Alabama,2011,4609820
Alabama,2012,4623288
Alabama,2013,4636657
Alabama,2014,4649932
Alabama,2015,4663111
Alabama,2016,4676269
Alabama,2017,4689410
Alabama,2018,4702519
Alabama,2019,4715658
Alabama,2020,4728915
Alabama,2021,4742363
Alabama,2022,4756138
Alabama,2023,4770343
Alabama,2024,4784959
Alabama,2025,4800092
Alabama,2026,4815086
Alabama,2027,4829976
Alabama,2028,4844786
Alabama,2029,4859518
Alabama,2030,4874243
Alaska,2004,655349
Alaska,2005,661110
Alaska,2006,667147
Alaska,2007,673516
Alaska,2008,680082
Alaska,2009,686965
Alaska,2010,694109
Alaska,2011,701381
Alaska,2012,708914
Alaska,2013,716684
Alaska,2014,724553
Alaska,2015,732544
Alaska,2016,740704
Alaska,2017,748945
Alaska,2018,757331
Alaska,2019,765831
Alaska,2020,774421
Alaska,2021,783195
Alaska,2022,792219
Alaska,2023,801435
Alaska,2024,810992
Alaska,2025,820881
Alaska,2026,830576
Alaska,2027,840106
Alaska,2028,849465
Alaska,2029,858638
Alaska,2030,867674
Arizona,2004,5723060
Arizona,2005,5868004
Arizona,2006,6016116
Arizona,2007,6167024
Arizona,2008,6320874
Arizona,2009,6477686
Arizona,2010,6637381
Arizona,2011,6800697
Arizona,2012,6968066
Arizona,2013,7139678
Arizona,2014,7315364
Arizona,2015,7495238
Arizona,2016,7679249
Arizona,2017,7867317
Arizona,2018,8059487
Arizona,2019,8255876
Arizona,2020,8456448
Arizona,2021,8661628
Arizona,2022,8871581
Arizona,2023,9086570
Arizona,2024,9306480
Arizona,2025,9531537
Arizona,2026,9760275
Arizona,2027,9992720
Arizona,2028,10228744
Arizona,2029,10468679
Arizona,2030,10712397
Arkansas,2004,2756801
Arkansas,2005,2777007
Arkansas,2006,2797096
Arkansas,2007,2816936
Arkansas,2008,2836580
Arkansas,2009,2855960
Arkansas,2010,2875039
Arkansas,2011,2893966
Arkansas,2012,2912801
Arkansas,2013,2931613
Arkansas,2014,2950287
Arkansas,2015,2968913
Arkansas,2016,2987368
Arkansas,2017,3005726
Arkansas,2018,3023989
Arkansas,2019,3042139
Arkansas,2020,3060219
Arkansas,2021,3078304
Arkansas,2022,3096402
Arkansas,2023,3114547
Arkansas,2024,3132786
Arkansas,2025,3151005
Arkansas,2026,3169170
Arkansas,2027,3187183
Arkansas,2028,3205040
Arkansas,2029,3222760
Arkansas,2030,3240208
California,2004,35627966
California,2005,36038859
California,2006,36449380
California,2007,36857069
California,2008,37262310
California,2009,37665703
California,2010,38067134
California,2011,38469883
California,2012,38877863
California,2013,39290168
California,2014,39705716
California,2015,40123232
California,2016,40541658
California,2017,40959943
California,2018,41377233
California,2019,41793201
California,2020,42206743
California,2021,42621044
California,2022,43038400
California,2023,43458537
California,2024,43880767
California,2025,44305177
California,2026,44730796
California,2027,45157132
California,2028,45584544
California,2029,46013544
California,2030,46444861
Colorado,2004,4574908
Colorado,2005,4617962
Colorado,2006,4661034
Colorado,2007,4703833
Colorado,2008,4746528
Colorado,2009,4789060
Colorado,2010,4831554
Colorado,2011,4874231
Colorado,2012,4917355
Colorado,2013,4960914
Colorado,2014,5004965
Colorado,2015,5049493
Colorado,2016,5094505
Colorado,2017,5139904
Colorado,2018,5185795
Colorado,2019,5232108
Colorado,2020,5278867
Colorado,2021,5326177
Colorado,2022,5374263
Colorado,2023,5423079
Colorado,2024,5472581
Colorado,2025,5522803
Colorado,2026,5574258
Colorado,2027,5626850
Colorado,2028,5680680
Colorado,2029,5735899
