State Code,State,Year,Year Code,Projected Populations
01,Alabama,2004,2004,4513207
01,Alabama,2005,2005,4527166
01,Alabama,2006,2006,4541263
01,Alabama,2007,2007,4555152
01,Alabama,2008,2008,4568983
01,Alabama,2009,2009,4582698
01,Alabama,2010,2010,4596330
01,Alabama,2011,2011,4609820
01,Alabama,2012,2012,4623288
01,Alabama,2013,2013,4636657
01,Alabama,2014,2014,4649932
01,Alabama,2015,2015,4663111
01,Alabama,2016,2016,4676269
01,Alabama,2017,2017,4689410
01,Alabama,2018,2018,4702519
01,Alabama,2019,2019,4715658
01,Alabama,2020,2020,4728915
01,Alabama,2021,2021,4742363
01,Alabama,2022,2022,4756138
01,Alabama,2023,2023,4770343
01,Alabama,2024,2024,4784959
01,Alabama,2025,2025,4800092
01,Alabama,2026,2026,4815086
01,Alabama,2027,2027,4829976
01,Alabama,2028,2028,4844786
01,Alabama,2029,2029,4859518
01,Alabama,2030,2030,4874243
02,Alaska,2004,2004,655349
02,Alaska,2005,2005,661110
02,Alaska,2006,2006,667147
02,Alaska,2007,2007,673516
02,Alaska,2008,2008,680082
02,Alaska,2009,2009,686965
02,Alaska,2010,2010,694109
02,Alaska,2011,2011,701381
02,Alaska,2012,2012,708914
02,Alaska,2013,2013,716684
02,Alaska,2014,2014,724553
02,Alaska,2015,2015,732544
02,Alaska,2016,2016,740704
02,Alaska,2017,2017,748945
02,Alaska,2018,2018,757331
02,Alaska,2019,2019,765831
02,Alaska,2020,2020,774421
02,Alaska,2021,2021,783195
02,Alaska,2022,2022,792219
02,Alaska,2023,2023,801435
02,Alaska,2024,2024,810992
02,Alaska,2025,2025,820881
02,Alaska,2026,2026,830576
02,Alaska,2027,2027,840106
02,Alaska,2028,2028,849465
02,Alaska,2029,2029,858638
02,Alaska,2030,2030,867674
04,Arizona,2004,2004,5723060
04,Arizona,2005,2005,5868004
04,Arizona,2006,2006,6016116
04,Arizona,2007,2007,6167024
04,Arizona,2008,2008,6320874
04,Arizona,2009,2009,6477686
04,Arizona,2010,2010,6637381
04,Arizona,2011,2011,6800697
04,Arizona,2012,2012,6968066
04,Arizona,2013,2013,7139678
04,Arizona,2014,2014,7315364
04,Arizona,2015,2015,7495238
04,Arizona,2016,2016,7679249
04,Arizona,2017,2017,7867317
04,Arizona,2018,2018,8059487
04,Arizona,2019,2019,8255876
04,Arizona,2020,2020,8456448
04,Arizona,2021,2021,8661628
04,Arizona,2022,2022,8871581
04,Arizona,2023,2023,9086570
04,Arizona,2024,2024,9306480
04,Arizona,2025,2025,9531537
04,Arizona,2026,2026,9760275
04,Arizona,2027,2027,9992720
04,Arizona,2028,2028,10228744
04,Arizona,2029,2029,10468679
04,Arizona,2030,2030,10712397
05,Arkansas,2004,2004,2756801
05,Arkansas,2005,2005,2777007
05,Arkansas,2006,2006,2797096
05,Arkansas,2007,2007,2816936
05,Arkansas,2008,2008,2836580
05,Arkansas,2009,2009,2855960
05,Arkansas,2010,2010,2875039
05,Arkansas,2011,2011,2893966
05,Arkansas,2012,2012,2912801
05,Arkansas,2013,2013,2931613
05,Arkansas,2014,2014,2950287
05,Arkansas,2015,2015,2968913
05,Arkansas,2016,2016,2987368
05,Arkansas,2017,2017,3005726
05,Arkansas,2018,2018,3023989
05,Arkansas,2019,2019,3042139
05,Arkansas,2020,2020,3060219
05,Arkansas,2021,2021,3078304
05,Arkansas,2022,2022,3096402
05,Arkansas,2023,2023,3114547
05,Arkansas,2024,2024,3132786
05,Arkansas,2025,2025,3151005
05,Arkansas,2026,2026,3169170
05,Arkansas,2027,2027,3187183
05,Arkansas,2028,2028,3205040
